Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S133230985,Canada Goose,Branta canadensis,330,14,US-PA,Allegheny,L1078564,Brunot Island--Doerr St.,40.4691841,-80.0419664,2023-04-09,04:38 PM,eBird - Traveling Count,23,1,.953,,1
S153733415,Canada Goose,Branta canadensis,330,12,US-PA,Allegheny,L1078564,Brunot Island--Doerr St.,40.4691841,-80.0419664,2023-11-04,02:04 PM,eBird - Traveling Count,8,1,.093,,1
S160533581,Canada Goose,Branta canadensis,330,20,US-PA,Allegheny,L1078564,Brunot Island--Doerr St.,40.4691841,-80.0419664,2024-02-03,01:47 PM,eBird - Traveling Count,71,1,2.237,,1,,,Most birds along the shore of Brunot Island
S133236272,Canada Goose,Branta canadensis,330,2,US-PA,Allegheny,L668569,Brunot Island--River Rd.,40.4670333,-80.0527006,2023-04-09,05:24 PM,eBird - Traveling Count,16,1,.238,,1
S160351544,Canada Goose,Branta canadensis,330,4,US-PA,Allegheny,L668569,Brunot Island--River Rd.,40.4670333,-80.0527006,2024-02-01,12:44 PM,eBird - Traveling Count,15,1,.496,,1,,,"Very tough birding environment. Views limited by tall brush, buildings, heavy industry, and construction."
S159937292,Canada Goose,Branta canadensis,330,6,US-PA,Allegheny,L985316,Chapel Harbor,40.485112,-79.8838247,2024-01-27,01:00 PM,eBird - Traveling Count,61,1,2.391,,2
S168071441,Canada Goose,Branta canadensis,330,3,US-PA,Allegheny,L30520591,Cheswick Heron roost view,40.540811,-79.810559,2024-04-10,07:21 PM,eBird - Stationary Count,27,1,,,2
S133218556,Canada Goose,Branta canadensis,330,1,US-PA,Allegheny,L630368,Dashields Dam,40.5530399,-80.2133274,2023-04-09,02:52 PM,eBird - Traveling Count,39,1,1.772,,1
S153718235,Canada Goose,Branta canadensis,330,1,US-PA,Allegheny,L630368,Dashields Dam,40.5530399,-80.2133274,2023-11-04,11:10 AM,eBird - Traveling Count,26,1,1.238,,1
S104238825,Canada Goose,Branta canadensis,330,29,US-PA,Allegheny,L1136752,Duck Hollow,40.4144763,-79.9163854,2022-03-05,02:39 PM,eBird - Traveling Count,90,1,5.062,,1
S130248596,Canada Goose,Branta canadensis,330,7,US-PA,Allegheny,L1136752,Duck Hollow,40.4144763,-79.9163854,2023-03-05,01:41 PM,eBird - Stationary Count,63,1,,,1
S133212141,Canada Goose,Branta canadensis,330,5,US-PA,Allegheny,L23491326,Flaugherty Run,40.557335,-80.218753,2023-04-09,01:59 PM,eBird - Traveling Count,47,1,.251,,1
S170831189,Canada Goose,Branta canadensis,330,1,US-PA,Allegheny,L190706,Frick Park,40.4307,-79.9134,2024-04-28,07:48 AM,eBird - Traveling Count,191,1,3.166,,45,,,3RBC outing - FEC to Falls Ravine to Riverview extension to Upper Riverview-dump down to Lower Riverview to Trough (smaller group) to Nature Trail (track stopped) to S Clayton to Clayton meadows along deer exclosure and back via meadow trail to FEC
S130253755,Canada Goose,Branta canadensis,330,39,US-PA,Allegheny,L3467978,Great Allegheny Passage--The Pump House,40.4133512,-79.8972023,2023-03-05,03:02 PM,eBird - Traveling Count,29,1,1.191,,1
S149456497,Canada Goose,Branta canadensis,330,8,US-PA,Allegheny,L188881,Harrison Hills County Park,40.652046,-79.70259,2023-09-09,08:01 AM,eBird - Traveling Count,196,1,5.164,,19,,,#NYT
S102517526,Canada Goose,Branta canadensis,330,20,US-PA,Allegheny,L340163,Head of the Ohio River (incl. Point SP),40.442146,-80.0147581,2022-02-12,03:07 PM,eBird - Traveling Count,65,1,2.407,,2
S153726594,Canada Goose,Branta canadensis,330,40,US-PA,Allegheny,L7955546,Leetsdale Boat Launch,40.5698572,-80.2234287,2023-11-04,12:44 PM,eBird - Traveling Count,16,1,.33,,1,,,,610944695
S161269182,Canada Goose,Branta canadensis,330,6,US-PA,Allegheny,L29214079,Morton Fields,40.328878,-80.096015,2024-02-11,05:05 PM,eBird - Traveling Count,34,1,1.341,,2
S128196833,Canada Goose,Branta canadensis,330,35,US-PA,Allegheny,L662833,North Park,40.6079579,-80.0154877,2023-02-12,02:32 PM,eBird - Traveling Count,29,1,1.158,,2
S128206365,Canada Goose,Branta canadensis,330,32,US-PA,Allegheny,L662833,North Park,40.6079579,-80.0154877,2023-02-12,04:06 PM,eBird - Traveling Count,27,1,1.592,,2
S170571210,Canada Goose,Branta canadensis,330,50,US-PA,Allegheny,L31011986,North Park Mound,40.595801,-79.996574,2024-04-27,02:13 PM,eBird - Traveling Count,12,1,.203,,1
S99710236,Canada Goose,Branta canadensis,330,20,US-PA,Allegheny,L938885,North Park--Black Rock Trail/Ridge Dr. area,40.5869076,-79.9852753,2021-12-30,03:20 PM,eBird - Traveling Count,57,1,3.554,,1
S140492900,Canada Goose,Branta canadensis,330,22,US-PA,Allegheny,L1012077,North Park--Gold Star Mothers Wetland,40.593458,-80.0043297,2023-06-04,01:26 PM,eBird - Traveling Count,80,1,2.309,,1,,,#NYT
S152020643,Canada Goose,Branta canadensis,330,4,US-PA,Allegheny,L1012077,North Park--Gold Star Mothers Wetland,40.593458,-80.0043297,2023-10-12,11:52 AM,eBird - Traveling Count,52,1,1.243,,1,,,Looking for the Sora. Did not see it.
S170566470,Canada Goose,Branta canadensis,330,2,US-PA,Allegheny,L1012077,North Park--Gold Star Mothers Wetland,40.593458,-80.0043297,2024-04-27,01:16 PM,eBird - Traveling Count,46,1,.836,,1
S170587354,Canada Goose,Branta canadensis,330,1,US-PA,Allegheny,L628730,North Park--Latodami Nature Center,40.6207869,-80.029635,2024-04-27,03:14 PM,eBird - Traveling Count,30,1,.966,,1
S128973963,Canada Goose,Branta canadensis,330,5,US-PA,Allegheny,L880023,North Park--Marshall Lake,40.6135615,-80.0213242,2023-02-19,02:05 PM,eBird - Stationary Count,16,1,,,1
S140503520,Canada Goose,Branta canadensis,330,42,US-PA,Allegheny,L880023,North Park--Marshall Lake,40.6135615,-80.0213242,2023-06-04,03:03 PM,eBird - Traveling Count,59,1,1.049,,1,,,#NYT
S170575601,Canada Goose,Branta canadensis,330,6,US-PA,Allegheny,L880023,North Park--Marshall Lake,40.6135615,-80.0213242,2024-04-27,02:34 PM,eBird - Traveling Count,12,1,.342,,1
S193418198,Canada Goose,Branta canadensis,330,7,US-PA,Allegheny,L6253940,North Park--Mine Waste Field/Pine Creek Area,40.5864513,-79.9791598,2024-08-31,11:32 AM,eBird - Traveling Count,62,1,2.72,,2
S121949606,Canada Goose,Branta canadensis,330,2,US-PA,Allegheny,L1130760,North Park--North Park Lake,40.5966189,-79.9981499,2022-11-06,09:02 AM,eBird - Traveling Count,50,1,.962,,2
S121952862,Canada Goose,Branta canadensis,330,2,US-PA,Allegheny,L1130760,North Park--North Park Lake,40.5966189,-79.9981499,2022-11-06,09:54 AM,eBird - Traveling Count,36,1,1.24,,2
S128203055,Canada Goose,Branta canadensis,330,80,US-PA,Allegheny,L1130760,North Park--North Park Lake,40.5966189,-79.9981499,2023-02-12,03:15 PM,eBird - Traveling Count,46,1,1.906,,2,,,,535071611 535071621
S129016100,Canada Goose,Branta canadensis,330,60,US-PA,Allegheny,L1130760,North Park--North Park Lake,40.5966189,-79.9981499,2023-02-19,03:48 PM,eBird - Traveling Count,76,1,2.378,,1,,,,538432461 538432471
S132597960,Canada Goose,Branta canadensis,330,22,US-PA,Allegheny,L1130760,North Park--North Park Lake,40.5966189,-79.9981499,2023-04-02,06:30 AM,eBird - Traveling Count,45,0,.805,,2
S163587751,Canada Goose,Branta canadensis,330,4,US-PA,Allegheny,L1040594,PennDot Wetlands,40.3317587,-80.103507,2024-03-03,11:41 AM,eBird - Traveling Count,75,1,4.032,,1
S149435438,Canada Goose,Branta canadensis,330,6,US-PA,Allegheny,L27004275,Rachael Carson Shelter,40.648439,-79.698528,2023-09-09,08:12 AM,eBird - Casual Observation,,0,,,1,,,#NYT
S153748171,Canada Goose,Branta canadensis,330,20,US-PA,Allegheny,L2605318,Sharpsburg Marina,40.4932822,-79.9295926,2023-11-04,04:10 PM,eBird - Traveling Count,41,1,.462,,1,,,,610944936
S91136909,Canada Goose,Branta canadensis,330,50,US-PA,Allegheny,L841018,Southside Riverfront Park,40.4312404,-79.9703233,2021-07-02,05:07 PM,eBird - Traveling Count,40,1,1.864,,2,,,,351970681 351970691 351970701
S151620930,Canada Goose,Branta canadensis,330,2,US-PA,Allegheny,L13505461,Thornburg Conservation Park,40.4356805,-80.0804309,2023-10-07,10:02 AM,eBird - Traveling Count,101,1,3.513,,1
S163468965,Canada Goose,Branta canadensis,330,2,US-PA,Allegheny,L29608275,Trotter Pond,40.480141,-80.315925,2024-03-02,02:24 PM,eBird - Stationary Count,8,1,,,2
S75060520,Canada Goose,Branta canadensis,330,25,US-PA,Allegheny,L907532,Wingfield Pines,40.339369,-80.1108214,2020-10-18,04:38 PM,eBird - Traveling Count,60,1,2.615,,2
S87520349,Canada Goose,Branta canadensis,330,5,US-PA,Allegheny,L907532,Wingfield Pines,40.339369,-80.1108214,2021-05-08,02:20 PM,eBird - Traveling Count,190,1,5.141,,2,,Four geese appeared to be fighting over territory (a beaver's nest).,,335933421 335934221 335934761
